id,user,time,score,content
163422726,雪3飞who,2020-05-11 10:39,5,老法师的拍照建议（当然不是我😂）&#x0A;🔺镜海和犀牛海无风时的倒影最美，要赶在早上人少的时候拍摄。&#x0A;🔺五彩池建议在中午有阳光拍摄，比较容易出片。&#x0A;🔺在公路旁栈道上的观景台拍摄树正瀑布和五花海全景最佳。&#x0A;&#x0A;目前景区实行限区域开放。开放扎如沟的扎如寺、树正沟（火花海除外）、日则沟(诺日朗至五花海段景点)、则查洼沟。&#x0A;&#x0A;💡tips：&#x0A;🔺景区属于高原气候，早晚温差大，记得携带保暖衣物。&#x0A;🔺阳光紫外线很强，需注意防晒。&#x0A;🔺景区海拔较高，部分人可能会发生高反。&#x0A;🔺据当地导游说，扎如寺被温州人承包了稍微有点变味，根据自己的爱好选择前往😌。&#x0A;🔺个人推荐：还有一个比较偷懒的方式，就是在门口请个当地人导游。谈了价钱之后200元成交，她带着我们用最合理的路线带着我们游玩，而且坐观光车也不会坐错，还可以不用排队，一路上给我们讲解，跟我们聊天，物超所值👍🏻。
163345969,LHCY,2020-05-01 16:55,5,九寨沟位于四川省阿坝藏族羌族自治州九寨沟县境内，地处青藏高原、川西高原、山地向四川盆地过渡地带，南距成都市300多公里，是一条纵深50余千米的山沟谷地，总面积64297公顷，森林覆盖率超过80%。因沟内有树正寨、荷叶寨、则查洼寨等九个藏族村寨坐落在这片高山湖泊群中而得名。九寨沟国家级自然保护区主要保护对象是以大熊猫、金丝猴等珍稀动物及其自然生态环境。有74种国家保护珍稀植物，有18种国家保护动物，还有丰富的古生物化石、古冰川地貌。“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。
163422243,真诚7577,2020-05-11 09:33,5,确实不愧是中国最美的水，九寨归来不看来确实是名不虚传，原始自然风景保护的真的好，一个个景点之间接驳车很方便，省体力可以轻松游，点赞
163411030,Tom84114,2020-05-09 16:58,5,九寨沟还需要点评吗？旅游要么自然要么人文，自然要么山要么水。智者乐山，仁者乐水；黄山归来不看山，九寨归来不看水。作为水的巅峰，九寨的水用空灵是无法形容的，即便地震使她失去了一些美，但残存的海子也足以吊打世界各地的水。啊神奇的九寨，真水无香，看一眼，让人深深沉醉，喝一口，让人心旷神怡。我赞美你，四川的骄傲，中国最佳旅游地！
163257235,猫猫的小世界,2020-04-17 14:40,5,九寨归来不看水！这里就是上帝打翻的调色板，五颜六色五彩缤纷五光十色！！秋天过来那简直就是置身于童话世界里，神秘又浪漫！还会再去九寨沟的，太美了真的！
163453136,simonxccc,2020-05-15 17:46,3,风景秀美，雪山、河流、湖泊、湿地、瀑布交相辉映。可惜的是，山美水美人不美！1、不使用景区停车场，使用其它私人停车场，收费30，没有发票；2、景区观光车上下客点相距913米。也就是说，景区入口接你上车，等你游览结束疲惫不堪时，绝对不会让你在原接你的景区入口处放你下车（原因只有一个，请自行乘坐出租车前往景区入口上车停车处）；3、出租车913米收费11元，并且态度恶劣。句句属实！请各位驾车去九寨沟旅游的游客注意！
163256550,M38****7114,2020-04-17 12:34,5,九寨沟：世界自然遗产、国家重点风景名胜区、国家AAAAA级旅游景区、国家级自然保护区、国家地质公园、世界生物圈保护区网络，是中国第一个以保护自然风景为主要目的的自然保护区。&#x0A;九寨沟位于四川省阿坝藏族羌族自治州九寨沟县境内，地处青藏高原、川西高原、山地向四川盆地过渡地带，森林覆盖率超过百分之八十。因沟内有树正寨、荷叶寨、则查洼寨等九个藏族村寨坐落在这片高山湖泊群中而得名。&#x0A;九寨沟国家级自然保护区主要保护对象是以大熊猫、金丝猴等珍稀动物及其自然生态环境。有74种国家保护珍稀植物，有18种国家保护动物，还有丰富的古生物化石、古冰川地貌。
163026819,shilin0427,2020-03-17 22:07,5,九寨沟国家级自然保护区位于四川省阿坝藏族羌族自治州九寨沟县境内，是中国第一个以保护自然风景为主要目的的自然保护区，九寨沟是一条纵深50余km的山沟谷地，沟内有树正、荷叶、则查洼等九个藏族村寨。九寨沟四季景色迷人，原始森林遍布，栖息着大熊猫等十多种稀有和珍贵野生动物。远望雪峰林立，高耸云天。
163020494,shilin0427,2020-03-16 21:10,5,九寨沟国家级自然保护区位于四川省阿坝藏族羌族自治州九寨沟县境内，是中国第一个以保护自然风景为主要目的的自然保护区，被纳入《世界自然遗产名录》。沟内有树正、荷叶、则查洼等。九寨沟四季景色迷人，远望雪峰林立，高耸云天，终年白雪皑皑，加上藏家木楼、晾架经幡、栈桥、磨房、传统习俗及神话传说构成的人文景观，被誉为“美丽的童话世界”。
163005698,shilin0427,2020-03-14 13:24,5,九寨沟国家级自然保护区位于四川省阿坝藏族羌族自治州九寨沟县境内，是中国第一个以保护自然风景为主要目的的自然保护区，大部分为森林所覆盖。因沟内有树正、荷叶、则查洼等九个藏族村寨坐落在这片高山湖泊群中而得名。九寨沟四季景色迷人。动植物资源丰富，种类繁多，原始森林遍布，栖息着大熊猫等十多种稀有和珍贵野生动物。远望雪峰林立，高耸云天，终年白雪皑皑，加上藏家木楼、晾架经幡、栈桥、磨房、传统习俗及神话传说构成的人文景观，被誉为“美丽的童话世界”。
163286952,我想遇到你,2020-04-22 10:45,4,九寨沟可算得上是四川一个非常出名的景点。它的风景超级的美。只不过九寨沟去的人太多了。现在也没法单独去游玩，只能报团参加。还是有些可惜的。
163395928,工匠,2020-05-07 11:33,4,地震后九寨沟还是略有变化的，冬天去的，景色依旧很美，各个海子都各有特色，空气清新，人又比其他季节少，感觉不错的一次旅行。
163013826,shilin0427,2020-03-15 20:15,5,九寨沟景区是非常有名的一个景点，位于美丽的四川盆地和青藏高原之间。景点虽然很偏远，但是每年来旅行的人依旧是络绎不绝。景区内山清水秀，空气清新，以后有机会再来玩。
162901092,cc350,2020-02-25 16:37,5,16年淡季去的九寨沟，本想着4月应该春暖花开了吧，没想到还是冰雪覆盖啊，之后第二年就大地震了，额&#x0A;去的时候，导游说由于08年的地震，好多地理环境已经改变了，但魅力依旧啊&#x0A;从成都到九寨沟大巴要开一天啊，那悬崖峭壁的。看着就心慌，还有很多自驾去的，那驾驶技术太佩服了
162999508,shilin0427,2020-03-13 11:31,5,九寨沟风景区是非常有名的景区，景区内环境优美，景色宜人，空气清新，山清水秀。这里很遥远，但是每年过来玩的人依旧是络绎不绝，很喜欢这里，下次有时间再来。
163250589,钦奈王导,2020-04-16 13:27,5,4月来的九寨沟，风景很好，都说九寨沟归来不看水。里面的海子很美，每个季节都有不一样的风景，最佳旅游季节7到10月。五彩池因为地震后的原因，没有之前的那么大。很喜欢静海，感觉像是瑞士风光一样
162971608,shilin0427,2020-03-08 17:58,5,九寨沟风景区是神州大地上的一颗璀璨的明珠，九寨沟位于阿坝羌族藏族自治州，景区内大大小小的海子超过一百个，点缀在九寨沟的每一个角落，景区内的山和水交汇在一起让景区内变得格外有生机。
162877032,shilin0427,2020-02-20 23:12,5,冬天的九寨沟不同于夏天的九寨沟，更不似秋天的多彩靓丽，但是有他独特的静美，虽然经历过地震的洗礼，但是仍然不失他的独特。很喜欢冬天的九寨沟，希望下次还有机会再来看冬天九寨沟的样子。
162977764,shilin0427,2020-03-09 20:18,5,九寨沟景区是非常有名的景点，景区坐落于美丽的阿坝羌族藏族自治州，虽然很遥远，但是来玩的人依旧络绎不绝。经过地震的洗礼，九寨沟的魅力丝毫不减，以后有机会会在去玩的。
162725364,wengweng1978,2020-01-24 18:03,5,九寨归来不看水，今天刚刚去玩过，景色真的很美！景区必须要乘坐观光车到每个景点，这样很方便，我的建议是从最高处往下游玩，淡季人不是很多，但景色不打折，至于高原反应，我个人觉得还好，早饭吃过后吃了两瓶红景天，可能是这个原因，我个人最喜欢五彩池，五花海！太美了！
162938634,M27****4442,2020-03-03 08:06,5,中国有句话，叫“九寨归来不看水”，去了一次九寨沟，果然名不虚传。湛蓝透亮的长海，五彩斑斓的五彩池，层次丰富清澈见底的五花海，随手一拍，就是大片
162175167,M27****9122,2019-12-02 14:05,5,一夜之间、九寨沟这座城市就冷了、风一动寒一重、愿所有人、有衣暖身、有人暖心、秋天的思念，一叶一叶地飘落，冬日的雪花，一片一片地翩跹，对你的爱，凋落又萌生，永无止境地辗转在流年。
162864509,卜一样的旅行,2020-02-18 18:03,5,九寨沟基本上三月就进入春季，春天万物复苏，植被萌芽，泉水叮咚，景色真不错，温度回升，气候适宜，非常适合前去，天气好的话看着是最漂亮的。
163321194,莞邑虎岭,2020-04-27 20:52,5,九寨沟：世界自然遗产、国家重点风景名胜区、国家AAAAA级旅游景区、国家级自然保护区、国家地质公园、世界生物圈保护区网络，是中国第一个以保护自然风景为主要目的的自然保护区。
162994725,shilin0427,2020-03-12 14:55,5,九寨沟风景区位于阿坝羌族藏族自治州，从机场到景区要2小时车程，景区淡季门票可以使用两天，景区内交通费90元，可以一天内不限量乘坐。
163068762,卢湾申花魂,2020-03-20 20:07,5,九寨沟绝对是风景很漂亮的一个景点了啊，喜欢看风景的人来这里绝对是没错的啊，很喜欢来这里玩啊真的是非常的有意思拍拍照很合适。
163312215,李sir588,2020-04-26 12:27,5,环境跟想象中一样的华美，整体的装修格调很是喜欢，很安逸的氛围的，这家实在我逛过的当中算是不错的，X真的棒极了，味道真心不错，值得推荐的一家店啊，性价比很好，服务员热情，周到，相当的nice~以后还会考虑在来~
163290610,一笑而过1870,2020-04-22 21:59,5,风景如画，清凉透顶😁😁&#x0A;运气好到爆！四月下旬，九寨沟里居然还能下雪，导游说我们看到了两个季节的九寨，可就是坑爹的冷。&#x0A;想象一下，十月中旬，五彩池也好，五花海也好，色彩应该也是极为艳丽的，不愧是九寨
163284857,M22****7230,2020-04-21 23:13,3,携程订票很方便，10块钱的保险费也没有单独收了。导游直接给了。疫情期间景区必须全程一辆车，像一个旅游团一样到哪里都是固定时间不是很方便。不自由。停车场30一天。但是景区出来大巴车下车位置去停车场很远，走路20分钟。
162806659,WillSum,2020-02-07 16:32,5,很美丽的风景来形容的话九寨沟绝对是其中之一&#x0A;独特的山间环境活水的感觉很棒&#x0A;虽然已经十几年前去的九寨沟不过还是无法忘记&#x0A;清晨进镜海等待日出时分的倒影还是诺日朗瀑布巨大的水流还有火花海的五颜六色都让人赞叹不已
162360472,M37****1777,2019-12-21 10:22,5,冬季的九寨水依旧碧蓝碧蓝&#x0A;最精华的五花海不仅色彩丰富&#x0A;早晨水面上会有蒸蒸向上的水气，如梦如幻&#x0A;海子边的树梢上都挂满了洁白的雪&#x0A;倒映在宁静湛蓝的水中，无与伦比的浪漫
162260155,娴雅小溪,2019-12-11 12:44,5,四川阿坝九寨沟风景区：位于四川省阿坝藏族羌族自治州九寨沟县境内，为国家级自然保护区，5A级旅游景区。九寨沟景区青山碧水，散布着大大小的海子、湖泊、瀑布群，每处海子都晶莹透澈，犹如一幅迷人的画卷，精致优美，令人称奇。
162225333,真诚7577,2019-12-07 19:20,5,中国最美的水绝对是在九寨沟，冬天的九寨沟银装素裹，大地都披上了一件银色的盛装，水还是那样的五彩斑斓，让我沉醉其中不可自拔，水面那些枯枝落叶的点缀给予了九寨沟不一样的韵味，水里倒映着水面的美景，似乎是一面镜子让美景更增添一份特别。
162102619,M22****4422,2019-11-25 16:08,5,九寨沟，位于四川省阿坝藏族羌族自治州九寨沟县境内，国家5A级景区，世界自然遗产，世界生物圈保护区，被世人誉为“童话世界”，号称“水景之王”，故有“九寨归来不看水”之说。九寨沟地处青藏高原、川西高原、山地向四川盆地过渡地带，属世界高寒喀斯特地貌，总面积约620km&amp;#178;，约有52[%]的面积被原始森林所覆盖，诸多珍稀野生动物栖息于此。
162059974,境无界,2019-11-21 16:36,5,冬天的九寨沟，美到你怀疑人生！&#x0A;九寨归来不看水，水永远是九寨沟亘古不变的主题。&#x0A;冬日里，九寨沟的水少了几分肆意和张扬，多了些纯洁和宁静，越发的晶莹清澈，把九寨沟装扮成一个水晶的世界，山峦与树木银装素裹，瀑布与湖泊冰清玉洁。&#x0A;冬天的九寨沟，在冰雪的映衬下，银装素裹、玲珑剔透，像一幅素雅的国画，俨然呈现出和北方不一样的雪景，深情款款地展示着它独有的冰雪柔情…
163363522,M67****93,2020-05-03 17:11,5,九寨沟一年四季风景都不一样，都说九寨归来不看水，一点都不会错，如果你秋天来九寨沟那简直就是置身于童话世界里，真的太美！
162842209,山茶叶蛋糕,2020-02-14 09:46,5,有一首歌叫《神奇的九寨》，真实的写出了九寨沟的美。九寨沟一年四季美景都不相同，最美的是秋季和冬季，特别是冬季，冰雪九寨沟，那才是真正的童话世界，让人流连忘返。
162144651,Seba_zhou,2019-11-29 14:08,5,不敢说走遍了全球，起码走遍了好多好多地方。九寨沟风景区是我最喜欢的地方之一。那个美景是无法用语言来描述的，此景只应天上有，人间难得几回真。说上帝打翻的调色盘太过笼统，好吧，都得自己亲眼去看。
162772088,1390169****,2020-02-01 15:23,5,黄山归来不看山，九寨归来不看水。水是九寨沟的灵魂，号称水景之王。九寨沟位于四川阿坝州，三沟九寨一百一十八湾水中，翠海、叠瀑、彩林、雪峰和藏情，这是一个古朴的人间天上，让人迷恋、让人陶醉。
163211887,心随吾动,2020-04-10 20:59,5,九寨归来不看水，黄山归来不看山一点没错。九寨沟的水是天然的调色盘，景色宜人，随便一拍都可以当做壁纸。
162561703,粉红色的猴,2020-01-07 23:28,5,九寨沟四季景色各有千秋，非常迷人。景区内还有种类繁多的动植物资源，原始森林遍布。沟中雪峰立、林木茂密，水池浅滩五彩斑斓，晶莹的溪水穿行于森林和浅滩之间，被誉为“美丽的童话世界”。
162866051,shilin0427,2020-02-18 23:26,5,冬天的九寨沟有着自己的特色，门票可以使用两天，可以慢慢的看景区的每一个角落，慢慢的感受它的气息。冬天的九寨沟有这自己的静美，没有那么多喧嚣，但是很容易让人倾听到自己的世界。
162132084,真诚7577,2019-11-28 10:20,5,神奇的九寨沟，人间的仙境，来了还想再来的地方，我去了两趟了，景区有接驳车，适合老少皆宜的，中国最美的水绝对是九寨呀，不信你去看看吧
162947239,小鸡棍,2020-03-04 15:38,5,九寨沟是国家级5A景区，国家级的自然保护区，去九寨沟主要是看水的，各种各样的的湖非常漂亮，也是西游记的取景地之一，非常值得推荐。
163280777,_WeCh****62026,2020-04-21 10:11,5,真的是太好看了…大早上在山上下雪了❄️！
162923376,旅行者,2020-02-29 15:49,5,九寨沟是最值得去旅游的景点了它是我所见过的最美的景点。走进景区就融进了大自然的怀抱——那醉人的绿啊把我的心都融化了，那饱含树草清香的空气啊让我禁不住贪婪的呼吸，越走心越静，灵魂也得到了荡涤……
162672255,_WeCh****460040,2020-01-18 16:13,5,九寨，梦幻的天堂！永远值得一去的地方！那水或蓝或绿，那瀑布或细如发丝或宽阔如悬挂的大河，水深却清可见底，游鱼一群群一簇簇，仿佛在为自己身处仙境而向游人炫耀。那真是让人流连忘返的地方！哦，那山那水那九寨……
162607322,M60****675,2020-01-13 10:29,5,风景如画，即使冬天去的，也是很美，水特别好看，瀑布群很美。路标标的清楚，景区观光车服务态度好，一路介绍景点，每辆车还配一名工作人员提醒游客游玩路线和注意事项。不过不满意的这点和景区无关。沟口到景区，不太方便，没找到景区直达车，这对散客不太方便。坐出租车，被多坑了20块，让人不太舒服。
162187900,腥涩的海风,2019-12-03 18:45,5,九寨沟，第一眼就让你感到惊艳！至今难忘。&#x0A;【景色】九寨归来不看水，并不是吹的，那种体会很深刻。不多说，强烈建议有机会去看看。&#x0A;【趣味】游走在童话般的大自然美景之中，那种欣喜是发自内心的。木制栈道的运用恰到好处。&#x0A;【性价比】相比其他的景区，我觉得性价比很高。
162059841,周游列国,2019-11-21 16:25,5,查洼沟是九寨沟四条游览路线距离最长、海拔最高的一条游览路线。层峦叠嶂，山势挺拔，眺望远方，皑皑雪峰，尽收眼底。五彩池是九寨沟里最小的湖泊，但又是颜色最丰富的一个。湖水如梦如幻，从天蓝，碧蓝，到榄绿。天气好时，能看到蓝天白云的映在水面上。冬季来访也不要紧，当四周蒙上白雪时，五彩池也不会结冰，别有一番风味！&#x0A;长海与五彩池相反，是九寨沟最高、也是最大的一个湖泊。湖泊四周的高山终年积雪，湖面宽阔，湖水呈墨蓝色，水源来自于高山融雪。在这里既能看到叠翠，也能看到雪峰。山，水，林完美融合。&#x0A;树正沟是九寨沟主沟，也是九寨沟秀丽风景的大门，全长13.8公里，共有各种湖泊40余个。虽然此次火花海没有开放，仍然有多处美景等你来。&#x0A;芦苇海是一个半沼泽湖泊。碧绿的湖水蜿蜒穿行，被一大片芦苇丛簇拥着，两种颜色，泾渭分明。这里也是水鸟栖息的圣地，时有鹭鸶和野鸭游于水中，为仙境增添了生机。
162059648,勇猛十温柔,2019-11-21 16:14,5,五花海是一个名副其实的五彩湖泊，被誉为“九寨沟一绝”。在阳光、藻类、钙华的作用下，湖水显现出天然的五彩斑斓。秋日里层林尽染，也倒映在水中，清澈斑驳，让人不敢相信自己的眼睛。这次九寨沟重开也包括此处，所以绝对不亏！&#x0A;珍珠滩位于五花海下游，和珍珠滩瀑布组成经典打卡点。瀑布打在滩上，水珠就像粒粒珍珠，故有此名。电视剧《西游记》片头中，唐僧师徒牵马涉水的地方就是这里。&#x0A;诺日朗瀑布是中国大型钙华瀑布之一，比珍珠滩瀑布要宽上100余米，也是中国最宽的瀑布。&#x0A;瀑布飞流直下，声势浩大，“诺日朗”在藏语中是伟岸高大的意思，瀑布的壮观可想而知。隆冬时节这里则会出现独特的冰瀑奇景。
