index_label,id,user,time,score,content,keywords,sentiment
0,163422726,雪3飞who,2020-05-11 10:39,5,老法师的拍照建议（当然不是我😂）&#x0A;🔺镜海和犀牛海无风时的倒影最美，要赶在早上人少的时候拍摄。&#x0A;🔺五彩池建议在中午有阳光拍摄，比较容易出片。&#x0A;🔺在公路旁栈道上的观景台拍摄树正瀑布和五花海全景最佳。&#x0A;&#x0A;目前景区实行限区域开放。开放扎如沟的扎如寺、树正沟（火花海除外）、日则沟(诺日朗至五花海段景点)、则查洼沟。&#x0A;&#x0A;💡tips：&#x0A;🔺景区属于高原气候，早晚温差大，记得携带保暖衣物。&#x0A;🔺阳光紫外线很强，需注意防晒。&#x0A;🔺景区海拔较高，部分人可能会发生高反。&#x0A;🔺据当地导游说，扎如寺被温州人承包了稍微有点变味，根据自己的爱好选择前往😌。&#x0A;🔺个人推荐：还有一个比较偷懒的方式，就是在门口请个当地人导游。谈了价钱之后200元成交，她带着我们用最合理的路线带着我们游玩，而且坐观光车也不会坐错，还可以不用排队，一路上给我们讲解，跟我们聊天，物超所值👍🏻。,&# x0A 五花海 景区 拍摄 导游 阳光 五彩池 观景台 开放 树正沟 镜海 海无风时 出片 树正 扎如沟 如寺 诺日朗 查洼沟 tips,0.9995141810839422
1,163345969,LHCY,2020-05-01 16:55,5,九寨沟位于四川省阿坝藏族羌族自治州九寨沟县境内，地处青藏高原、川西高原、山地向四川盆地过渡地带，南距成都市300多公里，是一条纵深50余千米的山沟谷地，总面积64297公顷，森林覆盖率超过80%。因沟内有树正寨、荷叶寨、则查洼寨等九个藏族村寨坐落在这片高山湖泊群中而得名。九寨沟国家级自然保护区主要保护对象是以大熊猫、金丝猴等珍稀动物及其自然生态环境。有74种国家保护珍稀植物，有18种国家保护动物，还有丰富的古生物化石、古冰川地貌。“九寨归来不看水”，是对九寨沟景色真实的诠释。泉、瀑、河、滩108个海子，构成一个个五彩斑斓的瑶池玉盆。长海、剑岩、诺日朗、树正、扎如、黑海六大景观，呈“Y”字形分布。翠海、叠瀑、彩林、雪峰、藏情、蓝冰，被称为“六绝”。神奇的九寨，被世人誉为“童话世界”，号称“水景之王”。,九寨沟 九寨 保护 四川省阿坝藏族羌族自治州 九寨沟县 南距 300 50 64297 80% 因沟 正寨 查洼 群中 74 18 看水 108 玉盆 剑岩,1.0
2,163422243,真诚7577,2020-05-11 09:33,5,确实不愧是中国最美的水，九寨归来不看来确实是名不虚传，原始自然风景保护的真的好，一个个景点之间接驳车很方便，省体力可以轻松游，点赞,接驳 点赞 确实 自然风景 九寨 名不虚传 最美 景点 不愧 体力 归来 轻松 一个个 原始 方便 真的 保护 之间 中国,0.9999999976640297
3,163411030,Tom84114,2020-05-09 16:58,5,九寨沟还需要点评吗？旅游要么自然要么人文，自然要么山要么水。智者乐山，仁者乐水；黄山归来不看山，九寨归来不看水。作为水的巅峰，九寨的水用空灵是无法形容的，即便地震使她失去了一些美，但残存的海子也足以吊打世界各地的水。啊神奇的九寨，真水无香，看一眼，让人深深沉醉，喝一口，让人心旷神怡。我赞美你，四川的骄傲，中国最佳旅游地！,九寨 归来 旅游 吊打 乐水 看山 看水 水用 真水 无香 无法形容 仁者 空灵 心旷神怡 海子 沉醉 自然 智者 巅峰 乐山,0.9999999997182458
4,163257235,猫猫的小世界,2020-04-17 14:40,5,九寨归来不看水！这里就是上帝打翻的调色板，五颜六色五彩缤纷五光十色！！秋天过来那简直就是置身于童话世界里，神秘又浪漫！还会再去九寨沟的，太美了真的！,调色板 看水 童话世界 九寨 五光十色 五彩缤纷 五颜六色 置身于 打翻 九寨沟 浪漫 归来 秋天 上帝 神秘 还会 真的 过来,0.9999958930885916
5,163453136,simonxccc,2020-05-15 17:46,3,风景秀美，雪山、河流、湖泊、湿地、瀑布交相辉映。可惜的是，山美水美人不美！1、不使用景区停车场，使用其它私人停车场，收费30，没有发票；2、景区观光车上下客点相距913米。也就是说，景区入口接你上车，等你游览结束疲惫不堪时，绝对不会让你在原接你的景区入口处放你下车（原因只有一个，请自行乘坐出租车前往景区入口上车停车处）；3、出租车913米收费11元，并且态度恶劣。句句属实！请各位驾车去九寨沟旅游的游客注意！,景区 913 停车场 上车 入口 出租车 收费 停车处 态度恶劣 山美水 不美 30 客点 原接 11 观光车 让你在 交相辉映 秀美 疲惫不堪,2.3603796558413492e-06
6,163256550,M38****7114,2020-04-17 12:34,5,九寨沟：世界自然遗产、国家重点风景名胜区、国家AAAAA级旅游景区、国家级自然保护区、国家地质公园、世界生物圈保护区网络，是中国第一个以保护自然风景为主要目的的自然保护区。&#x0A;九寨沟位于四川省阿坝藏族羌族自治州九寨沟县境内，地处青藏高原、川西高原、山地向四川盆地过渡地带，森林覆盖率超过百分之八十。因沟内有树正寨、荷叶寨、则查洼寨等九个藏族村寨坐落在这片高山湖泊群中而得名。&#x0A;九寨沟国家级自然保护区主要保护对象是以大熊猫、金丝猴等珍稀动物及其自然生态环境。有74种国家保护珍稀植物，有18种国家保护动物，还有丰富的古生物化石、古冰川地貌。,九寨沟 &# x0A 自然保护区 保护 国家 国家级 四川省阿坝藏族羌族自治州 九寨沟县 地质公园 AAAAA 因沟 正寨 查洼 群中 74 18 自然遗产 自然风景 川西高原,1.0
7,163026819,shilin0427,2020-03-17 22:07,5,九寨沟国家级自然保护区位于四川省阿坝藏族羌族自治州九寨沟县境内，是中国第一个以保护自然风景为主要目的的自然保护区，九寨沟是一条纵深50余km的山沟谷地，沟内有树正、荷叶、则查洼等九个藏族村寨。九寨沟四季景色迷人，原始森林遍布，栖息着大熊猫等十多种稀有和珍贵野生动物。远望雪峰林立，高耸云天。,九寨沟 自然保护区 四川省阿坝藏族羌族自治州 九寨沟县 50 km 沟内 树正 查洼 十多种 自然风景 云天 村寨 荷叶 雪峰 远望 山沟 原始森林 大熊猫 稀有,0.9999999999936133
8,163020494,shilin0427,2020-03-16 21:10,5,九寨沟国家级自然保护区位于四川省阿坝藏族羌族自治州九寨沟县境内，是中国第一个以保护自然风景为主要目的的自然保护区，被纳入《世界自然遗产名录》。沟内有树正、荷叶、则查洼等。九寨沟四季景色迷人，远望雪峰林立，高耸云天，终年白雪皑皑，加上藏家木楼、晾架经幡、栈桥、磨房、传统习俗及神话传说构成的人文景观，被誉为“美丽的童话世界”。,九寨沟 自然保护区 四川省阿坝藏族羌族自治州 九寨沟县 经幡 沟内 树正 查洼 晾架 木楼 白雪皑皑 童话世界 自然遗产 磨房 人文景观 藏家 自然风景 栈桥 传统习俗 名录,0.9999999999999993
9,163005698,shilin0427,2020-03-14 13:24,5,九寨沟国家级自然保护区位于四川省阿坝藏族羌族自治州九寨沟县境内，是中国第一个以保护自然风景为主要目的的自然保护区，大部分为森林所覆盖。因沟内有树正、荷叶、则查洼等九个藏族村寨坐落在这片高山湖泊群中而得名。九寨沟四季景色迷人。动植物资源丰富，种类繁多，原始森林遍布，栖息着大熊猫等十多种稀有和珍贵野生动物。远望雪峰林立，高耸云天，终年白雪皑皑，加上藏家木楼、晾架经幡、栈桥、磨房、传统习俗及神话传说构成的人文景观，被誉为“美丽的童话世界”。,九寨沟 自然保护区 四川省阿坝藏族羌族自治州 九寨沟县 经幡 因沟 树正 查洼 群中 晾架 木楼 白雪皑皑 童话世界 十多种 磨房 人文景观 藏家 自然风景 栈桥 传统习俗,1.0
